"filename", "language", "Python", "comment", "blank", "total"
"/home/gerard/Bureau/pycdcover-v2/Modele/Gabarit.py", "Python", -110, -33, -14, -157
"/home/gerard/Bureau/pycdcover-v2/Modele/Image_face_arriere.py", "Python", -125, -48, -20, -193
"/home/gerard/Bureau/pycdcover-v2/Modele/Image_face_avant.py", "Python", -57, -20, -19, -96
"/home/gerard/Bureau/pycdcover-v2/Modele/Lancement_av_ar.py", "Python", -22, -15, -8, -45
"/home/gerard/Bureau/pycdcover-v2/Modele/Tags.py", "Python", -93, -24, -13, -130
"/home/gerard/Bureau/pycdcover-v2/Modele/Titres.py", "Python", -50, -13, -10, -73
"/home/gerard/Bureau/pycdcover-v2/Modele/__init__.py", "Python", 0, 0, -1, -1
"/home/gerard/Bureau/pycdcover-v2/Modele/recup_images_avant.py", "Python", -162, -40, -34, -236
"/home/gerard/Bureau/pycdcover-v2/Vue/A_propos.py", "Python", 104, 24, 18, 146
"/home/gerard/Bureau/pycdcover-v2/Vue/Bas.py", "Python", 86, 25, 20, 131
"/home/gerard/Bureau/pycdcover-v2/Vue/Editeur_tags.py", "Python", 71, 19, 14, 104
"/home/gerard/Bureau/pycdcover-v2/Vue/Fen_Titre.py", "Python", 69, 15, 14, 98
"/home/gerard/Bureau/pycdcover-v2/Vue/Fenetre.py", "Python", 163, 32, 20, 215
"/home/gerard/Bureau/pycdcover-v2/Vue/Haut_droit.py", "Python", 67, 17, 15, 99
"/home/gerard/Bureau/pycdcover-v2/Vue/Haut_gauche.py", "Python", 83, 17, 15, 115
"/home/gerard/Bureau/pycdcover-v2/Vue/Haut_milieu.py", "Python", 68, 15, 16, 99
"/home/gerard/Bureau/pycdcover-v2/Vue/TelechargementUI.py", "Python", 65, 31, 28, 124
"/home/gerard/Bureau/pycdcover-v2/Vue/__init__.py", "Python", 0, 0, 1, 1
"Total", "-", 157, 2, 42, 201
